bank_settlement_id,deposited_amount,settlement_date,description
BANK-TXN-10310,3452.71,2026-08-14,Razorpay Settlement for pay_ad3adb029889
BANK-TXN-10311,5059.05,2026-08-29,Razorpay Settlement for pay_5042347fd1d0
BANK-TXN-10312,12230.86,2026-08-03,Razorpay Settlement for pay_08136fa00ac6
BANK-TXN-10313,9121.01,2026-08-24,Razorpay Settlement for pay_33af708259e7
BANK-TXN-10314,2364.63,2026-08-10,Razorpay Settlement for pay_a0149adf155e
BANK-TXN-10315,4563.9,2026-08-26,Razorpay Settlement for pay_b6058abad5db
BANK-TXN-10316,9229.25,2026-08-16,Razorpay Settlement for pay_9a7b71a5d127
BANK-TXN-10317,7970.93,2026-08-29,Razorpay Settlement for pay_1de1f747f092
BANK-TXN-10318,218.69,2026-08-06,Razorpay Settlement for pay_72fa97e38ebc
BANK-TXN-10319,9832.05,2026-08-20,Razorpay Settlement for pay_df311d8f8ba7
BANK-TXN-10320,8087.36,2026-08-13,Razorpay Settlement for pay_e9dac24fce5b
BANK-TXN-10321,9415.77,2026-08-29,Razorpay Settlement for pay_1b4a646f554e
BANK-TXN-10322,11632.7,2026-08-25,Razorpay Settlement for pay_934c0b79fe1c
BANK-TXN-10323,1699.55,2026-08-26,Razorpay Settlement for pay_e52d819e6e60
BANK-TXN-10324,5106.29,2026-08-03,Razorpay Settlement for pay_3b48d4490777
BANK-TXN-10325,14421.8,2026-08-27,Razorpay Settlement for pay_59d1d5b9b348
BANK-TXN-10326,10581.52,2026-08-07,Razorpay Settlement for pay_0c5bf09ded53
BANK-TXN-10327,5971.85,2026-08-31,Razorpay Settlement for pay_de18dc18af59
BANK-TXN-10328,4345.75,2026-08-04,Razorpay Settlement for pay_ff895c796db8
BANK-TXN-10329,2001.39,2026-08-22,Razorpay Settlement for pay_9e8102085b84
BANK-TXN-10330,6573.94,2026-08-30,Razorpay Settlement for pay_444b15eb4bca
BANK-TXN-10331,7412.08,2026-08-08,Razorpay Settlement for pay_dee8e7985fe9
BANK-TXN-10332,1340.76,2026-08-05,Razorpay Settlement for pay_4d350e41e82a
BANK-TXN-10333,1357.32,2026-08-11,Razorpay Settlement for pay_9941a08caad4
BANK-TXN-10334,6376.39,2026-08-17,Razorpay Settlement for pay_a2517b65cd5a
BANK-TXN-10335,12815.02,2026-08-16,Razorpay Settlement for pay_79cef050aa1d
BANK-TXN-10336,14410.31,2026-08-15,Razorpay Settlement for pay_d63e9ee81ea1
BANK-TXN-10337,5465.46,2026-08-23,Razorpay Settlement for pay_f2e3bb08a36f
BANK-TXN-10338,11528.15,2026-08-06,Razorpay Settlement for pay_39d8db9763d9
BANK-TXN-10339,8972.29,2026-09-01,Razorpay Settlement for pay_feb67825eef7
BANK-TXN-10340,1311.14,2026-08-13,Razorpay Settlement for pay_5565a2f6099a
BANK-TXN-10341,9617.23,2026-08-13,Razorpay Settlement for pay_9b352bd87725
BANK-TXN-10342,7434.13,2026-08-03,Razorpay Settlement for pay_5877eae5a3c7
BANK-TXN-10343,3971.24,2026-08-05,Razorpay Settlement for pay_bfd070e9c0df
BANK-TXN-10344,13488.61,2026-08-21,Razorpay Settlement for pay_5f16ca987560
BANK-TXN-10345,1270.05,2026-08-05,Razorpay Settlement for pay_17e2113abf7b
BANK-TXN-10346,10086.7,2026-08-16,Razorpay Settlement for pay_20db15d61066
BANK-TXN-10347,8173.16,2026-08-14,Razorpay Settlement for pay_f1fbe950bf2c
BANK-TXN-10348,10487.51,2026-08-29,Razorpay Settlement for pay_e47240a80127
BANK-TXN-10349,1953.0,2026-08-13,Razorpay Settlement for pay_09884dfcb54a
BANK-TXN-10350,11852.31,2026-08-20,Razorpay Settlement for pay_e9fdf36a7cf1
BANK-TXN-10351,4681.95,2026-08-30,Razorpay Settlement for pay_9d1a0a609043
BANK-TXN-10352,8534.36,2026-08-15,Razorpay Settlement for pay_8f1d7eed6d78
BANK-TXN-10353,6952.44,2026-08-22,Razorpay Settlement for pay_d342131a0069
BANK-TXN-10354,8721.25,2026-08-30,Razorpay Settlement for pay_3c7872edbeb0
BANK-TXN-10355,1996.83,2026-08-18,Razorpay Settlement for pay_98eeb2c430fb
BANK-TXN-10356,13753.44,2026-08-07,Razorpay Settlement for pay_9373b5af476f
BANK-TXN-10357,4315.83,2026-09-02,Razorpay Settlement for pay_7e6cf39f8607
BANK-TXN-10358,4176.64,2026-08-08,Razorpay Settlement for pay_449561349d71
BANK-TXN-10359,9492.88,2026-08-19,Razorpay Settlement for pay_116a6855c14e
BANK-TXN-10360,13278.62,2026-08-24,Razorpay Settlement for pay_0dd25dbaad5f
BANK-TXN-10361,12165.23,2026-08-31,Razorpay Settlement for pay_b90085845426
BANK-TXN-10362,9463.93,2026-08-20,Razorpay Settlement for pay_b038f6f84578
BANK-TXN-10363,14071.25,2026-08-19,Razorpay Settlement for pay_2adfbfa0fb25
BANK-TXN-10364,4509.98,2026-08-28,Razorpay Settlement for pay_988adb5ed6d0
BANK-TXN-10365,6222.88,2026-08-03,Razorpay Settlement for pay_5aa44e975dd7
BANK-TXN-10366,4657.3,2026-08-13,Razorpay Settlement for pay_d33692988563
BANK-TXN-10367,2092.63,2026-08-29,Razorpay Settlement for pay_a7bd291fdc3f
BANK-TXN-10368,3702.17,2026-08-19,Razorpay Settlement for pay_abc1055198cd
BANK-TXN-10369,1600.15,2026-08-16,Razorpay Settlement for pay_b3ac3eaafd16
BANK-TXN-10370,3711.64,2026-08-29,Razorpay Settlement for pay_1485b6e948db
BANK-TXN-10371,4731.62,2026-08-12,Razorpay Settlement for pay_c948b66544b6
BANK-TXN-10372,12946.11,2026-08-18,Razorpay Settlement for pay_34211dafba38
BANK-TXN-10373,6827.67,2026-08-04,Razorpay Settlement for pay_5d3bc9643133
BANK-TXN-10374,929.04,2026-08-20,Razorpay Settlement for pay_e62865a826c0
BANK-TXN-10375,7021.4,2026-08-31,Razorpay Settlement for pay_618c9d99e1ef
BANK-TXN-10376,12995.13,2026-08-05,Razorpay Settlement for pay_b3899adbd8d5
BANK-TXN-10377,6006.04,2026-08-14,Razorpay Settlement for pay_f824e70fe386
BANK-TXN-10378,5799.6,2026-08-19,Razorpay Settlement for pay_a14cded005ff
BANK-TXN-10379,14541.77,2026-08-19,Razorpay Settlement for pay_13ca246a293c
BANK-TXN-10380,11725.19,2026-08-05,Razorpay Settlement for pay_03bc5bff5ffd
BANK-TXN-10381,2183.58,2026-08-03,Razorpay Settlement for pay_3bbd74798187
BANK-TXN-10382,2356.23,2026-08-17,Razorpay Settlement for pay_f6114ca2e88f
BANK-TXN-10383,2552.93,2026-09-01,Razorpay Settlement for pay_857adba3032c
BANK-TXN-10384,7588.89,2026-08-13,Razorpay Settlement for pay_080d5ec3321d
BANK-TXN-10385,12027.62,2026-08-20,Razorpay Settlement for pay_87904bdfc479
BANK-TXN-10386,8662.01,2026-08-23,Razorpay Settlement for pay_19805b236335
BANK-TXN-10387,11551.24,2026-08-17,Razorpay Settlement for pay_1349ef989909
BANK-TXN-10388,2669.11,2026-08-03,Razorpay Settlement for pay_8778e21d19ac
BANK-TXN-10389,653.9,2026-08-29,Razorpay Settlement for pay_82aafbf0cd31
BANK-TXN-10390,6174.02,2026-08-02,Razorpay Settlement for pay_acd6d0dae28d
BANK-TXN-10391,11436.2,2026-08-08,Razorpay Settlement for pay_dfbea8653632
BANK-TXN-10392,1099.32,2026-08-30,Razorpay Settlement for pay_ac2f8e1bae3b
BANK-TXN-10393,14672.78,2026-08-09,Razorpay Settlement for pay_d3203fd00e21
BANK-TXN-10394,6862.96,2026-08-14,Razorpay Settlement for pay_84a25acbef9a
BANK-TXN-10395,4184.09,2026-08-17,Razorpay Settlement for pay_54c27ff9d673
BANK-TXN-10396,4387.71,2026-09-01,Razorpay Settlement for pay_5b53632ff460
BANK-TXN-10397,7155.07,2026-08-25,Razorpay Settlement for pay_3f0ab77204c3
BANK-TXN-10398,8074.44,2026-08-05,Razorpay Settlement for pay_1087f9954b38
BANK-TXN-10399,806.13,2026-08-13,Razorpay Settlement for pay_5bd596b17570
BANK-TXN-10400,3915.46,2026-08-31,Razorpay Settlement for pay_b509c3262adb
BANK-TXN-10401,13728.57,2026-08-09,Razorpay Settlement for pay_e241880b2d49
BANK-TXN-10402,8707.39,2026-08-05,Razorpay Settlement for pay_2ea4ee0ba176
BANK-TXN-10403,7047.75,2026-08-15,Razorpay Settlement for pay_fd50eb9969c8
BANK-TXN-10404,2486.78,2026-09-02,Razorpay Settlement for pay_bb879938359a
BANK-TXN-10405,14176.61,2026-08-22,Razorpay Settlement for pay_82dce79541ec
BANK-TXN-10406,11345.59,2026-08-22,Razorpay Settlement for pay_a4698b61f4b5
BANK-TXN-10407,13781.46,2026-08-26,Razorpay Settlement for pay_26c1e7164925
BANK-TXN-10408,13534.39,2026-08-30,Razorpay Settlement for pay_fb182550f59d
BANK-TXN-10409,11059.54,2026-08-17,Razorpay Settlement for pay_b6abcf494334
BANK-TXN-10410,8938.77,2026-08-02,Razorpay Settlement for pay_66a5b37b2b86
BANK-TXN-10411,7800.71,2026-08-17,Razorpay Settlement for pay_aea9ce1bbe91
BANK-TXN-10412,2992.54,2026-08-18,Razorpay Settlement for pay_e13e758621fc
BANK-TXN-10413,9598.73,2026-08-08,Razorpay Settlement for pay_0258844d4a85
BANK-TXN-10414,4475.03,2026-08-25,Razorpay Settlement for pay_c620aad70e6b
BANK-TXN-10415,6077.23,2026-08-22,Razorpay Settlement for pay_9b0be5a9412e
BANK-TXN-10416,9902.89,2026-08-12,Razorpay Settlement for pay_0a1f372ac555
BANK-TXN-10417,3793.68,2026-08-17,Razorpay Settlement for pay_0850c5afca4a
BANK-TXN-10418,4068.49,2026-08-09,Razorpay Settlement for pay_d7a31d30db6b
BANK-TXN-10419,356.33,2026-08-21,Razorpay Settlement for pay_db17df55e4ee
BANK-TXN-10420,1910.74,2026-08-09,Razorpay Settlement for pay_707d87e2b0f0
BANK-TXN-10421,13584.73,2026-08-14,Razorpay Settlement for pay_5fb76687e987
BANK-TXN-10422,13838.98,2026-08-06,Razorpay Settlement for pay_4995a3cc2404
BANK-TXN-10423,7131.55,2026-08-09,Razorpay Settlement for pay_93a5273cad48
BANK-TXN-10424,10376.95,2026-08-21,Razorpay Settlement for pay_5465f04b3ea7
BANK-TXN-10425,3363.84,2026-08-20,Razorpay Settlement for pay_cea83027e060
BANK-TXN-10426,11616.03,2026-08-27,Razorpay Settlement for pay_d3fa05153c6f
BANK-TXN-10427,13499.72,2026-08-24,Razorpay Settlement for pay_118e2e711ac4
BANK-TXN-10428,7527.59,2026-08-28,Razorpay Settlement for pay_56aa31600004
BANK-TXN-10429,13233.49,2026-08-21,Razorpay Settlement for pay_68193b04c5ec
BANK-TXN-10430,7523.21,2026-08-03,Razorpay Settlement for pay_b6086ed78897
BANK-TXN-10431,9953.82,2026-08-04,Razorpay Settlement for pay_44f8eaa1b2f8
BANK-TXN-10432,5193.05,2026-08-04,Razorpay Settlement for pay_a64207de9acd
BANK-TXN-10433,9500.68,2026-08-07,Razorpay Settlement for pay_1b209ecf6300
BANK-TXN-10434,12808.97,2026-08-30,Razorpay Settlement for pay_d8f43bf99537
BANK-TXN-10435,12880.53,2026-08-05,Razorpay Settlement for pay_9ad67f7a362b
BANK-TXN-10436,2784.58,2026-08-29,Razorpay Settlement for pay_3306f2a24d60
BANK-TXN-10437,12304.25,2026-08-07,Razorpay Settlement for pay_1884186cb87e
BANK-TXN-10438,8092.63,2026-08-17,Razorpay Settlement for pay_17a93aa27416
BANK-TXN-10439,5214.74,2026-08-09,Razorpay Settlement for pay_ad5d6b9104df
BANK-TXN-10440,1832.7,2026-09-01,Razorpay Settlement for pay_be73d3f67692
BANK-TXN-10441,9943.03,2026-08-03,Razorpay Settlement for pay_a80560fa5d65
BANK-TXN-10442,6561.63,2026-08-25,Razorpay Settlement for pay_799adb63d8b8
BANK-TXN-10443,7504.51,2026-08-29,Razorpay Settlement for pay_3abf584a9be8
BANK-TXN-10444,4821.37,2026-08-29,Razorpay Settlement for pay_a911fd566b41
BANK-TXN-10445,13953.34,2026-08-10,Razorpay Settlement for pay_ea8432a849bf
BANK-TXN-10446,7384.49,2026-08-23,Razorpay Settlement for pay_83475b334c34
BANK-TXN-10447,7802.81,2026-08-23,Razorpay Settlement for pay_7852a40618b5
BANK-TXN-10448,12631.82,2026-08-29,Razorpay Settlement for pay_781ea56159f4
BANK-TXN-10449,6181.48,2026-08-16,Razorpay Settlement for pay_d4604b8ce587
BANK-TXN-10450,3718.42,2026-08-18,Razorpay Settlement for pay_20c8622808fa
BANK-TXN-10451,6719.71,2026-08-22,Razorpay Settlement for pay_ba36c1d26429
BANK-TXN-10452,2958.75,2026-08-20,Razorpay Settlement for pay_89cdd27b492c
BANK-TXN-10453,769.59,2026-08-23,Razorpay Settlement for pay_52cc3d3a1709
BANK-TXN-10454,9934.72,2026-08-28,Razorpay Settlement for pay_971d5d706c4c
BANK-TXN-10455,14076.61,2026-08-08,Razorpay Settlement for pay_558af0aade07
BANK-TXN-10456,1897.55,2026-08-31,Razorpay Settlement for pay_5bb26b9c20ce
BANK-TXN-10457,3162.25,2026-08-25,Razorpay Settlement for pay_0b9861f2836a
BANK-TXN-10458,6958.5,2026-08-12,Razorpay Settlement for pay_0337f656f3f6
BANK-TXN-10459,13000.31,2026-08-10,Razorpay Settlement for pay_186b969cb0d9
BANK-TXN-10460,11242.67,2026-08-28,Razorpay Settlement for pay_29c2b70d26d3
BANK-TXN-10461,859.06,2026-08-13,Razorpay Settlement for pay_28762b802c9b
BANK-TXN-10462,8221.23,2026-08-06,Razorpay Settlement for pay_4eca72de629d
BANK-TXN-10463,3532.19,2026-08-06,Razorpay Settlement for pay_fbfc86b7e530
BANK-TXN-10464,5092.03,2026-08-20,Razorpay Settlement for pay_e6e1f9866c7b
BANK-TXN-10465,6879.86,2026-08-23,Razorpay Settlement for pay_fc2357586384
BANK-TXN-10466,7167.13,2026-08-07,Razorpay Settlement for pay_1415ed5f811f
BANK-TXN-10467,9887.8,2026-08-03,Razorpay Settlement for pay_3c67113984e3
BANK-TXN-10468,1163.72,2026-08-07,Razorpay Settlement for pay_8096055fb1a8
BANK-TXN-10469,7915.21,2026-08-17,Razorpay Settlement for pay_eb75fbb40b66
BANK-TXN-10470,4180.84,2026-08-02,Razorpay Settlement for pay_ee8fbfbbebbb
BANK-TXN-10471,6441.03,2026-08-19,Razorpay Settlement for pay_daa2de9dd9be
BANK-TXN-10472,2355.61,2026-08-31,Razorpay Settlement for pay_07c5999a1227
BANK-TXN-10473,5239.73,2026-08-18,Razorpay Settlement for pay_131ffe3da1f7
BANK-TXN-10474,8390.79,2026-08-14,Razorpay Settlement for pay_4503681e8f13
BANK-TXN-10475,14579.25,2026-08-23,Razorpay Settlement for pay_d3ca2ecaf279
BANK-TXN-10476,8212.38,2026-08-14,Razorpay Settlement for pay_59c87d07ff1c
BANK-TXN-10477,1395.27,2026-08-03,Razorpay Settlement for pay_f7af2862d655
BANK-TXN-10478,14371.18,2026-08-27,Razorpay Settlement for pay_8fc737f8dcec
BANK-TXN-10479,3262.39,2026-08-31,Razorpay Settlement for pay_7681624f3359
BANK-TXN-10480,13412.21,2026-08-03,Razorpay Settlement for pay_f34c520379d8
BANK-TXN-10481,14141.15,2026-08-31,Razorpay Settlement for pay_079d0a1628ed
BANK-TXN-10482,5972.88,2026-08-29,Razorpay Settlement for pay_7d887637a595
BANK-TXN-10483,8415.36,2026-08-08,Razorpay Settlement for pay_b469bbdbe595
BANK-TXN-10484,5763.3,2026-08-31,Razorpay Settlement for pay_46c0bb293d84
BANK-TXN-10485,7459.5,2026-08-25,Razorpay Settlement for pay_f2d55ebde331
BANK-TXN-10486,12360.13,2026-08-05,Razorpay Settlement for pay_6aa25a9847ac
BANK-TXN-10487,5949.79,2026-08-26,Razorpay Settlement for pay_eba60107267d
BANK-TXN-10488,14592.46,2026-08-22,Razorpay Settlement for pay_1c00e08f4058
BANK-TXN-10489,6374.55,2026-08-14,Razorpay Settlement for pay_4a64ccdb6fff
BANK-TXN-10490,11771.0,2026-08-26,Razorpay Settlement for pay_471ef2a6ad22
BANK-TXN-10491,1741.41,2026-08-14,Razorpay Settlement for pay_72f36fab0aaf
BANK-TXN-10492,4108.69,2026-08-16,Razorpay Settlement for pay_e9e281249f60
BANK-TXN-10493,8274.51,2026-08-07,Razorpay Settlement for pay_a61074a5d538
BANK-TXN-10494,8234.4,2026-08-02,Razorpay Settlement for pay_6c33d3b1f222
BANK-TXN-10495,6197.9,2026-08-14,Razorpay Settlement for pay_a9a69b039163
BANK-TXN-10496,14594.56,2026-08-30,Razorpay Settlement for pay_17a8d258e431
BANK-TXN-10497,5718.13,2026-08-18,Razorpay Settlement for pay_533a49283df8
BANK-TXN-10498,2312.64,2026-08-11,Razorpay Settlement for pay_4e64db111e72
BANK-TXN-10499,7219.29,2026-08-11,Razorpay Settlement for pay_8a222e1b61d3
BANK-TXN-10500,9261.49,2026-08-10,Razorpay Settlement for pay_a22fa5b9fd98
BANK-TXN-10501,294.16,2026-08-05,Razorpay Settlement for pay_3ab6bd127477
BANK-TXN-10502,12138.77,2026-08-13,Razorpay Settlement for pay_73bc584fa0fd
BANK-TXN-10503,3109.15,2026-08-12,Razorpay Settlement for pay_1fc2f7481d1d
BANK-TXN-10504,4423.16,2026-09-01,Razorpay Settlement for pay_92db08da25ea
BANK-TXN-10505,5650.31,2026-08-27,Razorpay Settlement for pay_632b10c06d05
BANK-TXN-10506,8785.66,2026-08-06,Razorpay Settlement for pay_bd27154c2eb7
BANK-TXN-10507,13991.59,2026-08-27,Razorpay Settlement for pay_5bc644a5e92b
BANK-TXN-10508,4421.47,2026-08-08,Razorpay Settlement for pay_7b05ed992580
BANK-TXN-10509,7437.9,2026-08-29,Razorpay Settlement for pay_088c2dfd8911
BANK-TXN-10510,10569.79,2026-08-11,Razorpay Settlement for pay_f0234229862c
BANK-TXN-10511,8640.87,2026-08-16,Razorpay Settlement for pay_c53bf72a79fa
BANK-TXN-10512,13184.35,2026-08-03,Razorpay Settlement for pay_866bb74a6b15
BANK-TXN-10513,9836.72,2026-08-26,Razorpay Settlement for pay_a92213e76be5
BANK-TXN-10514,14462.25,2026-08-21,Razorpay Settlement for pay_ac293f7808b3
BANK-TXN-10515,348.99,2026-08-12,Razorpay Settlement for pay_576dc9bd5ace
BANK-TXN-10516,8289.13,2026-08-19,Razorpay Settlement for pay_a65ea4f7e785
BANK-TXN-10517,11398.06,2026-08-13,Razorpay Settlement for pay_8cdb626fc3d0
BANK-TXN-10518,4480.95,2026-08-02,Razorpay Settlement for pay_2e8c2d91c6eb
BANK-TXN-10519,5248.15,2026-08-29,Razorpay Settlement for pay_a0715e83d31c
BANK-TXN-10520,7200.35,2026-08-27,Razorpay Settlement for pay_0e8d482e7a85
BANK-TXN-10521,6758.3,2026-08-17,Razorpay Settlement for pay_2703c74d1392
BANK-TXN-10522,523.57,2026-08-04,Razorpay Settlement for pay_81108e5b8438
BANK-TXN-10523,2579.79,2026-08-06,Razorpay Settlement for pay_7a6aabaa75b4
BANK-TXN-10524,13004.44,2026-08-03,Razorpay Settlement for pay_cb442991c743
BANK-TXN-10525,10417.49,2026-08-15,Razorpay Settlement for pay_bfdebc58dca3
BANK-TXN-10526,11741.3,2026-08-27,Razorpay Settlement for pay_a19e5d57f40d
BANK-TXN-10527,5501.47,2026-08-29,Razorpay Settlement for pay_751f31a71905
BANK-TXN-10528,12707.68,2026-08-05,Razorpay Settlement for pay_9b217365569d
BANK-TXN-10529,2698.34,2026-08-29,Razorpay Settlement for pay_08d47e4d63f4
BANK-TXN-10530,2106.04,2026-08-20,Razorpay Settlement for pay_f8b7beb0db13
BANK-TXN-10531,5610.43,2026-08-11,Razorpay Settlement for pay_f1da1160cd83
BANK-TXN-10532,2195.63,2026-08-15,Razorpay Settlement for pay_6c0bac1e1a73
BANK-TXN-10533,7990.15,2026-08-08,Razorpay Settlement for pay_9da8d9b9c7f2
BANK-TXN-10534,2230.86,2026-08-07,Razorpay Settlement for pay_ce8bf732bb03
BANK-TXN-10535,12749.54,2026-08-16,Razorpay Settlement for pay_f37741df6db4
BANK-TXN-10536,5764.72,2026-08-06,Razorpay Settlement for pay_d9e0a087a909
BANK-TXN-10537,10495.91,2026-08-24,Razorpay Settlement for pay_00b01b5f07a9
BANK-TXN-10538,7993.48,2026-08-03,Razorpay Settlement for pay_f5d8be50362e
BANK-TXN-10539,11401.04,2026-08-16,Razorpay Settlement for pay_2d29a4609570
BANK-TXN-10540,1852.45,2026-08-18,Razorpay Settlement for pay_10419f0fd2c2
BANK-TXN-10541,10461.48,2026-08-28,Razorpay Settlement for pay_f3d413eee317
BANK-TXN-10542,9676.85,2026-08-06,Razorpay Settlement for pay_5d1944516d95
BANK-TXN-10543,3961.82,2026-08-29,Razorpay Settlement for pay_5714b3b5dadf
BANK-TXN-10544,11971.64,2026-08-29,Razorpay Settlement for pay_fc8f6d810965
BANK-TXN-10545,5281.55,2026-08-25,Razorpay Settlement for pay_67a472b05bb1
BANK-TXN-10546,3192.81,2026-08-21,Razorpay Settlement for pay_2ed1d076235b
BANK-TXN-10547,7916.2,2026-08-04,Razorpay Settlement for pay_fff88f974f18
BANK-TXN-10548,8502.96,2026-08-24,Razorpay Settlement for pay_23fbab03536e
BANK-TXN-10549,1055.88,2026-09-01,Razorpay Settlement for pay_2f8ebeb718c1
BANK-TXN-10550,12757.61,2026-08-22,Razorpay Settlement for pay_6e4b4931c66c
BANK-TXN-10551,4093.47,2026-08-07,Razorpay Settlement for pay_4be37d710ef4
BANK-TXN-10552,11720.86,2026-08-16,Razorpay Settlement for pay_2667e64ecfd6
BANK-TXN-10553,10271.98,2026-08-19,Razorpay Settlement for pay_8c1b865313f2
BANK-TXN-10554,8636.68,2026-09-01,Razorpay Settlement for pay_675b243b97ea
BANK-TXN-10555,14237.73,2026-08-19,Razorpay Settlement for pay_565decc2d796
BANK-TXN-10556,4309.24,2026-08-10,Razorpay Settlement for pay_04e8c2db8cf3
BANK-TXN-10557,5181.6,2026-08-29,Razorpay Settlement for pay_3c04eca802ee
BANK-TXN-10558,6817.34,2026-08-31,Razorpay Settlement for pay_c320b4c8a65f
BANK-TXN-10559,9623.56,2026-08-24,Razorpay Settlement for pay_d4c52b226feb
BANK-TXN-10560,9690.14,2026-08-31,Razorpay Settlement for pay_43b7dc514b5f
BANK-TXN-10561,9607.81,2026-08-14,Razorpay Settlement for pay_821bf1c95997
BANK-TXN-10562,10340.7,2026-08-22,Razorpay Settlement for pay_e32d2e4c56f1
BANK-TXN-10563,1576.55,2026-08-22,Razorpay Settlement for pay_f3920897169f
BANK-TXN-10564,3476.67,2026-08-04,Razorpay Settlement for pay_ca8a5ecc002d
BANK-TXN-10565,12047.35,2026-08-03,Razorpay Settlement for pay_07e0dba71e68
BANK-TXN-10566,3516.64,2026-08-06,Razorpay Settlement for pay_3a0782755a6a
BANK-TXN-10567,4740.85,2026-08-27,Razorpay Settlement for pay_6a02485184b6
BANK-TXN-10568,14597.6,2026-08-14,Razorpay Settlement for pay_5c88418e8cbf
BANK-TXN-10569,9048.07,2026-08-19,Razorpay Settlement for pay_d0e7cf03ea62
BANK-TXN-10570,9305.67,2026-08-14,Razorpay Settlement for pay_92b381e20717
BANK-TXN-10571,12668.9,2026-08-22,Razorpay Settlement for pay_a05828574387
BANK-TXN-10572,10784.06,2026-08-06,Razorpay Settlement for pay_20d916888b8a
BANK-TXN-10573,4213.14,2026-08-12,Razorpay Settlement for pay_87d38366e6b1
BANK-TXN-10574,10655.99,2026-08-20,Razorpay Settlement for pay_b8158bef39a3
BANK-TXN-10575,12493.82,2026-09-02,Razorpay Settlement for pay_04b6ad3f3a34
BANK-TXN-10576,2932.13,2026-08-18,Razorpay Settlement for pay_53327e54ebea
BANK-TXN-10577,13219.33,2026-08-22,Razorpay Settlement for pay_44db1b6e5771
BANK-TXN-10578,7328.04,2026-08-14,Razorpay Settlement for pay_f98d889518d2
BANK-TXN-10579,13741.64,2026-08-30,Razorpay Settlement for pay_4eacc9bfc7ae
BANK-TXN-10580,5495.94,2026-08-29,Razorpay Settlement for pay_c6529172d11e
BANK-TXN-10581,8715.12,2026-08-17,Razorpay Settlement for pay_789caf9c798f
BANK-TXN-10582,1073.04,2026-08-08,Razorpay Settlement for pay_817548f315bc
BANK-TXN-10583,7463.21,2026-08-11,Razorpay Settlement for pay_cd5662085559
BANK-TXN-10584,9486.35,2026-08-24,Razorpay Settlement for pay_b1fad184b82c
BANK-TXN-10585,7611.96,2026-08-04,Razorpay Settlement for pay_b6393be1122b
BANK-TXN-10586,5863.17,2026-08-06,Razorpay Settlement for pay_a959df65c9a8
BANK-TXN-10587,6497.75,2026-08-09,Razorpay Settlement for pay_b7b351624eeb
BANK-TXN-10588,9856.82,2026-08-21,Razorpay Settlement for pay_360a9c7c3812
BANK-TXN-10589,10370.55,2026-08-02,Razorpay Settlement for pay_dd9c92fe4ee7
BANK-TXN-10590,7697.8,2026-09-01,Razorpay Settlement for pay_f157231daa80
BANK-TXN-10591,11525.42,2026-08-13,Razorpay Settlement for pay_b12bc84407ce
BANK-TXN-10592,1122.4,2026-08-15,Razorpay Settlement for pay_c010d01e6faf
BANK-TXN-10593,1000.09,2026-08-16,Razorpay Settlement for pay_8c6304e7a05a
BANK-TXN-10594,1688.53,2026-08-07,Razorpay Settlement for pay_5978b35b364f
BANK-TXN-10595,834.72,2026-08-26,Razorpay Settlement for pay_80887a8fd003
BANK-TXN-10596,5750.74,2026-08-03,Razorpay Settlement for pay_76de1609ae7a
BANK-TXN-10597,11844.39,2026-08-31,Razorpay Settlement for pay_c0fd996c41ca
BANK-TXN-10598,13479.56,2026-08-12,Razorpay Settlement for pay_66f98eae205d
BANK-TXN-10599,5603.21,2026-08-28,Razorpay Settlement for pay_9d5745c489cb
BANK-TXN-10600,14033.97,2026-08-09,Razorpay Settlement for pay_08cbd14781fc
BANK-TXN-10601,12449.66,2026-08-29,Razorpay Settlement for pay_c39c79549bc2
BANK-TXN-10602,5546.81,2026-08-20,Razorpay Settlement for pay_cd3874e1723a
BANK-TXN-10603,9227.9,2026-08-27,Razorpay Settlement for pay_b93d6bd45f16
BANK-TXN-10604,11437.22,2026-08-21,Razorpay Settlement for pay_b0f3fec8bc5e
BANK-TXN-10605,3575.4,2026-08-02,Razorpay Settlement for pay_53ef67ee510a
BANK-TXN-10606,335.16,2026-08-28,Razorpay Settlement for pay_e3153e71b0c5
BANK-TXN-10607,12509.98,2026-08-27,Razorpay Settlement for pay_616b08edd020
BANK-TXN-10608,6285.0,2026-08-08,Razorpay Settlement for pay_19d90a9266c5
BANK-TXN-10609,832.73,2026-08-24,Razorpay Settlement for pay_4aa076ce6924
BANK-TXN-10610,13185.46,2026-08-18,Razorpay Settlement for pay_feda550963a1
BANK-TXN-10611,7526.72,2026-08-04,Razorpay Settlement for pay_93335a0fa9d8
BANK-TXN-10612,6405.43,2026-08-20,Razorpay Settlement for pay_de7278f5e77e
BANK-TXN-10613,4764.89,2026-08-11,Razorpay Settlement for pay_a9312665393b
BANK-TXN-10614,4809.11,2026-08-29,Razorpay Settlement for pay_da465982817f
BANK-TXN-10615,11508.21,2026-08-04,Razorpay Settlement for pay_de43f545a7a2
BANK-TXN-10616,6955.67,2026-08-05,Razorpay Settlement for pay_c1ee4cea4453
BANK-TXN-10617,3207.56,2026-08-19,Razorpay Settlement for pay_2b989c7f78ff
BANK-TXN-10618,2482.06,2026-08-10,Razorpay Settlement for pay_c587970c614e
BANK-TXN-10619,780.94,2026-08-25,Razorpay Settlement for pay_0fa359a1c2bc
BANK-TXN-10620,14241.67,2026-08-05,Razorpay Settlement for pay_2fe5011a6e12
